Document,Topic_group,Priority
My chair is sinking,Hardware,Low
Please cancel invoice #01,Billing,Medium
I need access to the ceo folder,Access,High
Laptop camera is blurry,Hardware,Low
Where can I find the ip policy?,HR Support,Low
My laptop is making a grinding noise,Hardware,Low
I need to download my payslip for May,HR Support,Medium
I cannot login to Salesforce,Access,High
We need to order 10 monitors,Purchase,Low
Invoice #4921 is incorrect,Billing,Medium
The printer in the lobby is jammed,Hardware,High
Where can I find the insurance policy?,HR Support,Low
Reset my password for VPN,Access,Medium
Requesting a license for Docker,Purchase,High
Client #442 wants a credit note,Billing,Low
I need a replacement for my headset,Hardware,Medium
How do I update my bank account?,HR Support,High
Access denied to financial reports,Access,Low
Quote approval needed for standing desk,Purchase,Medium
Refund request for double charge,Billing,High
My webcam is flickering,Hardware,Low
Discrepancy in my bonus statement,HR Support,Medium
I need admin access for AWS,Access,High
Renew subscription for Office 365,Purchase,Low
Payment failed for invoice #1129,Billing,Medium
Urgent: server is overheating,Hardware,High
Query regarding WFH policy eligibility,HR Support,Low
I cannot login to GitHub,Access,Medium
We need to order 50 HDMI cables,Purchase,High
Billing address error on invoice #8821,Billing,Low
The scanner in the 2nd floor is dead,Hardware,Medium
I need to download my Form-16 for April,HR Support,High
System is throwing a 403 error,Access,Low
Purchase request: laptop stand for the team,Purchase,Medium
Invoice #3321 is missing tax info,Billing,High
My docking station is not working,Hardware,Low
Where can I find the travel policy?,HR Support,Medium
Reset my password for SAP,Access,High
Requesting a license for Tableau,Purchase,Low
Client #991 wants a discount,Billing,Medium
My keyboard keeps lagging randomly,Hardware,High
How do I update my emergency contact?,HR Support,Low
Access denied to HR records,Access,Medium
Quote approval needed for ergonomic chair,Purchase,High
Refund request for service outage,Billing,Low
The monitor in the meeting room is frozen,Hardware,Medium
Discrepancy in my tax report,HR Support,High
I need read-only access for Jira,Access,Low
Renew subscription for Figma,Purchase,Medium
Invoice #7741 is overdue,Billing,High
My mouse is broken,Hardware,Low
Query regarding leave policy eligibility,HR Support,Medium
I cannot login to Slack,Access,High
We need to order 5 whiteboards,Purchase,Low
Payment failed for invoice #2219,Billing,Medium
My laptop battery is swelling,Hardware,High
I need to download my experience letter for June,HR Support,Low
I need root access for server,Access,Medium
Purchase request: monitor for the team,Purchase,High
Client #112 wants a cancellation,Billing,Low
My headset keeps cutting out,Hardware,Medium
Where can I find the reimbursement policy?,HR Support,High
Reset my password for Outlook,Access,Low
Requesting a license for Photoshop,Purchase,Medium
Invoice #5521 is duplicated,Billing,High
The server in the server room is smoking,Hardware,Low
How do I update my marital status?,HR Support,Medium
Access denied to admin folder,Access,High
Quote approval needed for HDMI cable,Purchase,Low
Refund request for late delivery,Billing,Medium
My screen is cracked,Hardware,High
Discrepancy in my offer letter,HR Support,Low
I need write access for shared drive,Access,Medium
Renew subscription for IntelliJ,Purchase,High
Billing address error on invoice #6612,Billing,Low
My printer is offline,Hardware,Medium
Query regarding insurance policy eligibility,HR Support,High
I cannot login to Zoom,Access,Low
We need to order 100 laptop stands,Purchase,Medium
Invoice #9921 is underpaid,Billing,High
The projector is not working,Hardware,Low
I need to download my tax report for January,HR Support,Medium
System is throwing a 500 error,Access,High
Purchase request: ergonomic chair for the team,Purchase,Low
Client #882 wants a billing update,Billing,Medium
My hard drive is clicking,Hardware,High
Where can I find the leave policy?,HR Support,Low
Reset my password for HR Portal,Access,Medium
Requesting a license for Office 365,Purchase,High
Invoice #1234 is incorrect,Billing,Low
My fan is making a loud noise,Hardware,Medium
How do I update my address?,HR Support,High
Access denied to marketing assets,Access,Low
Quote approval needed for monitor,Purchase,Medium
Refund request for accidental purchase,Billing,High
My laptop is overheating,Hardware,Low
Discrepancy in my payslip,HR Support,Medium
I need developer access for GitHub,Access,High
Renew subscription for Docker,Purchase,Low
Payment failed for invoice #5511,Billing,Medium
The webcam in the cafeteria is broken,Hardware,High
Query regarding travel policy eligibility,HR Support,Low
I cannot login to Jira,Access,Medium
My monitor is flickering constantly,Hardware,Medium
I need to update my tax declaration for FY2026,HR Support,Low
Where can I find the list of company holidays?,HR Support,Low
I cannot access the shared drive from home,Access,High
Reset my password for the payroll system,Access,High
We need to order 5 ergonomic chairs for the new team,Purchase,Low
My mouse double clicks when I click once,Hardware,Low
Requesting a license for Slack Enterprise,Purchase,Low
How do I apply for marriage leave?,HR Support,Low
The printer on the 4th floor is out of toner,Hardware,Medium
I need a new laptop charger,Hardware,Medium
Portal for appraisal submission is down,HR Support,High
Please unlock my account,Access,High
WiFi is not connecting in the boardroom,Hardware,High
I need a noise-cancelling headset,Purchase,Low
Invoice #9901 has an incorrect billing address,Billing,Medium
Client #202 is asking for a refund,Billing,High
I cannot access the admin panel,Access,High
Login page is looping,Access,High
My webcam is blurry,Hardware,Low
I want to check my leave balance,HR Support,Low
Please buy a license for JetBrains,Purchase,Low
Laptop freezes when opening large Excel files,Hardware,Medium
Refund status for order #5512?,Billing,Medium
Error 503 when accessing the wiki,Access,Medium
I need my payslip for January 2026,HR Support,Low
The barcode scanner is not reading codes,Hardware,Medium
We need 10 new keyboards,Purchase,Low
Double billing on invoice #441,Billing,High
Outlook is not syncing emails,Access,High
My screen has a blue tint,Hardware,Low
What is the policy for gym reimbursement?,HR Support,Low
Urgent: My CPU fan is not spinning,Hardware,High
I need access to the production database,Access,High
Payment for vendor #88 failed,Billing,High
Requesting a new standing desk,Purchase,Low
How do I change my provident fund nomination?,HR Support,Low
VPN keeps disconnecting,Access,High
Docking station is not recognizing my monitors,Hardware,Medium
Update the GST details for client X,Billing,Low
Please order a wireless mouse,Purchase,Low
I cannot view my tax sheet,HR Support,Medium
Account locked after vacation,Access,High
The projector is displaying purple colors,Hardware,Medium
We need a subscription for Adobe Creative Cloud,Purchase,Low
Salary not deposited yet,HR Support,High
I need to reset my MFA device,Access,High
My laptop is making a buzzing sound,Hardware,Medium
Quote needed for a new server,Purchase,Low
Customer disputes the service charge,Billing,Medium
How do I claim LTA reimbursement?,HR Support,Low
I lost my ID card,HR Support,Medium
The water cooler is not cooling,Hardware,Low
Internet is slow in the dev bay,Hardware,Medium
I need admin rights on my local machine,Access,Medium
Grant me access to the Gitlab repo,Access,Medium
Screen goes black intermittently,Hardware,High
We need to buy a license for Trello,Purchase,Low
Where do I upload my investment proofs?,HR Support,Low
Cannot map network drive X:,Access,Medium
The main file server is down,Access,High
Keyboard spacebar is stuck,Hardware,Low
Requesting a quote for 20 monitors,Purchase,Low
Billing cycle change for next month,Billing,Low
I did not receive my joining bonus,HR Support,High
Email is not working on mobile,Access,Medium
I need a replacement for my broken headset,Hardware,Medium
We need to purchase a new router for the lab,Purchase,Medium
AC in the server room is not working,Hardware,High
Forgot username for the expense portal,Access,Medium
How many sick leaves do I have left?,HR Support,Low
My laptop wont turn on,Hardware,High
Please order 5 HDMI adapters,Purchase,Low
404 error on the internal tool,Access,Medium
Tax deduction seems incorrect,HR Support,Medium
Microphone is picking up too much background noise,Hardware,Low
We need to renew our domain,Purchase,High
Cannot print from my Macbook,Access,Medium
Payslip password is not working,HR Support,Medium
My external hard drive is not detected,Hardware,Medium
I need a larger monitor,Purchase,Low
Software installation failed with error,Access,Medium
Client was charged for a cancelled service,Billing,High
How do I add my spouse to insurance?,HR Support,Low
The shredder is jammed,Hardware,Low
I need a license for Visio,Purchase,Low
Cannot connect to office WiFi,Access,High
My chair is broken,Hardware,Low
Please update the billing contact for client #12,Billing,Low
I need access to the logs folder,Access,Medium
Laptop screen is cracked at the corner,Hardware,Medium
Where can I find the expense policy?,HR Support,Low
I forgot the password for the router,Access,High
We need to buy 50 mouse pads,Purchase,Low
The conference phone is not working,Hardware,Medium
Invoice #772 is past due,Billing,Medium
I cannot login to Jira,Access,High
My computer is slow,Hardware,Low
Requesting a foot rest,Purchase,Low
Is there a dress code?,HR Support,Low
VPN client says certificate expired,Access,High
My laptop runs hot,Hardware,Medium
Update address on invoice #991,Billing,Low
Please order a privacy screen,Purchase,Low
I cannot access the leave portal,Access,High
System asks for admin password for update,Access,Medium
My headset has static,Hardware,Low
We need a license for Tableau,Purchase,Low
Discrepancy in overtime pay,HR Support,Medium
I need to reset my voicemail password,Access,Low
Fan noise is too loud,Hardware,Low
Quote for new firewall,Purchase,Medium
Customer #221 wants to cancel,Billing,High
How do I claim internet bill?,HR Support,Low
I need a new lanyard,HR Support,Low
The coffee machine is broken,Hardware,Low
Internet is down,Hardware,High
I need to install Python,Access,Low
Revoke access for user X,Access,High
Monitor is too bright,Hardware,Low
We need to buy a license for Asana,Purchase,Low
Where do I submit medical receipts?,HR Support,Low
Cannot connect to LDAP,Access,High
The backup is failing,Access,High
Enter key is squeaking,Hardware,Low
Requesting a quote for a 3D printer,Purchase,Low
Billing issue with vendor Y,Billing,Medium
I did not receive my shift allowance,HR Support,Medium
Email signature is wrong,Access,Low
I need a spare charger,Hardware,Low
We need to purchase a 4K monitor,Purchase,Low
The server room door is unlocked,Hardware,High
Forgot password for the wiki,Access,Medium
How many privilege leaves can I carry forward?,HR Support,Low
My desktop blue screens,Hardware,High
Please order 10 USB-C cables,Purchase,Low
502 Bad Gateway on the intranet,Access,Medium
TDS deduction is missing,HR Support,Medium
Webcam is too dark,Hardware,Low
We need to renew the Office 365 license,Purchase,High
Cannot scan documents,Access,Medium
Payslip portal is slow,HR Support,Low
My USB drive is broken,Hardware,Medium
I need a vertical mouse,Purchase,Low
Application crashes frequently,Access,Medium
Client disputes the invoice amount,Billing,High
How do I change my emergency contact number?,HR Support,Low
The laminator is not heating up,Hardware,Low
I need a license for Sketch,Purchase,Low
Cannot connect to VPN from hotel,Access,Medium
My desk is too high,Hardware,Low
Please update the PO number,Billing,Low
I need access to the analytics tool,Access,Medium
Laptop hinge is broken,Hardware,Medium
Where can I find the employee handbook?,HR Support,Low
I forgot the root password,Access,High
We need to buy 20 pens,Purchase,Low
The TV in the lobby is off,Hardware,Low
Invoice #771 was sent to the wrong person,Billing,Medium
I cannot login to Confluence,Access,High
My computer freezes often,Hardware,Medium
Requesting a back support,Purchase,Low
What are the working hours?,HR Support,Low
VPN authentication failed,Access,High
My laptop battery is dead,Hardware,High
Correction needed on invoice #554,Billing,Low
Please order a laptop stand,Purchase,Low
I cannot access the performance tool,Access,Medium
System keeps locking me out,Access,High
My headset wire is broken,Hardware,Low
We need a license for Zoom,Purchase,Low
Bonus amount is wrong,HR Support,Medium
I need to reset my biometrics,Access,Medium
Hard drive makes clicking noise,Hardware,High
Quote for cloud storage,Purchase,Medium
Customer #112 is asking for a discount,Billing,Low
How do I claim mobile reimbursement?,HR Support,Low
I need a new parking sticker,HR Support,Low
The vending machine is empty,Hardware,Low
Internet speed is very slow,Hardware,Medium
I need to install Node.js,Access,Low
Grant me access to the staging server,Access,Medium
Screen colors are weird,Hardware,Medium
We need to buy a license for Monday.com,Purchase,Low
Where do I submit 80C proofs?,HR Support,Low
Cannot access the file server,Access,High
The mail server is blacklisted,Access,High
Tab key is not working,Hardware,Medium
Requesting a quote for a projector,Purchase,Low
Billing currency is wrong,Billing,Low
I did not receive my variable pay,HR Support,High
Email is going to spam,Access,Medium
I need a replacement for my mouse,Hardware,Low
We need to purchase a UPS,Purchase,Medium
The fire alarm is beeping,Hardware,High
Forgot password for the time sheet,Access,Medium
How many comp offs do I have?,HR Support,Low
My laptop screen is black,Hardware,High
Please order 20 notebooks,Purchase,Low
403 Forbidden on the HR portal,Access,High
Professional tax is deducted wrongly,HR Support,Medium
Speaker is not working,Hardware,Low
We need to renew the antivirus,Purchase,High
Cannot print double sided,Hardware,Low
Payslip is blank,HR Support,High
My SSD is failing,Hardware,High
I need a dual monitor setup,Purchase,Low
Software license expired,Access,High
Client claims they paid invoice #33,Billing,High
How do I update my marital status?,HR Support,Low
The paper shredder is full,Hardware,Low
I need a license for AutoCAD,Purchase,Low
Cannot connect to guest WiFi,Access,Low
My chair wheel is stuck,Hardware,Low
Please split the invoice,Billing,Low
I need access to the marketing folder,Access,Low
Laptop trackpad is broken,Hardware,Medium
Where can I find the harassment policy?,HR Support,Low
I forgot the wifi password,Access,Low
We need to buy 100 markers,Purchase,Low
The digital signage is black,Hardware,Low
Invoice #990 is missing details,Billing,Medium
I cannot login to Bitbucket,Access,High
My computer restarts randomly,Hardware,High
Requesting a cushion,Purchase,Low
Is Friday a holiday?,HR Support,Low
VPN connection dropped,Access,Medium
My laptop overheats,Hardware,Medium
Change the billing name,Billing,Low
Please order a screen cleaner,Purchase,Low
I cannot access the recruitment tool,Access,Medium
System requires restart,Hardware,Medium
My headset is uncomfortable,Purchase,Low
We need a license for LastPass,Purchase,Low
Salary slip shows wrong title,HR Support,Medium
I need to reset my PIN,Access,Medium
Fan is stopped,Hardware,High
Quote for new CCTV,Purchase,Medium
Customer #881 wants to downgrade,Billing,Low
How do I claim fuel bills?,HR Support,Low
I need a new access card holder,HR Support,Low
The microwave is broken,Hardware,Low
Internet is unstable,Hardware,Medium
I need to install VS Code,Access,Low
Grant me access to the client VPN,Access,Medium
Screen is too dim,Hardware,Low
We need to buy a license for Spotify,Purchase,Low
Where do I submit HRA proofs?,HR Support,Low
Cannot access the shared printer,Access,Medium
The DNS server is down,Access,High
Shift key is broken,Hardware,Low
Requesting a quote for 5 headsets,Purchase,Low
Billing address zip code is wrong,Billing,Low
I did not receive my referral bonus,HR Support,Medium
Email delivery failure,Access,Medium
I need a replacement for my laptop,Hardware,High
We need to purchase a stapler,Purchase,Low
The server room is hot,Hardware,High
Forgot password for the travel portal,Access,Medium
How many days of leave can I carry over?,HR Support,Low
My laptop freezes on login,Hardware,High
Please order 5 extension cords,Purchase,Low
500 Internal Server Error,Access,High
PF deduction is wrong,HR Support,Medium
Audio jack is broken,Hardware,Low
We need to renew the domain name,Purchase,High
Cannot scan to folder,Access,Medium
Payslip amount is wrong,HR Support,High
My USB port is loose,Hardware,Medium
I need a wireless charger,Purchase,Low
App crashes on launch,Access,Medium
Client requested a breakdown,Billing,Low
How do I add a nominee?,HR Support,Low
The paper cutter is dull,Hardware,Low
I need a license for Premiere Pro,Purchase,Low
Cannot connect to VPN from home,Access,Medium
My desk is wobbling,Hardware,Low
Please consolidate invoices,Billing,Low
I need access to the finance folder,Access,High
Laptop screen has lines,Hardware,Medium
Where can I find the referral policy?,HR Support,Low
I forgot the admin password,Access,High
We need to buy 10 staplers,Purchase,Low
The smart TV is not working,Hardware,Low
Invoice #441 is missing,Billing,High
I cannot login to GitHub,Access,High
My computer beeps,Hardware,Medium
Requesting a wrist rest,Purchase,Low
What are the comp off rules?,HR Support,Low
VPN refuses connection,Access,High
My laptop battery is draining fast,Hardware,Medium
Update the VAT number,Billing,Low
Please order a webcam cover,Purchase,Low
I cannot access the training site,Access,Low
System has a virus,Access,High
My headset ear pad is torn,Hardware,Low
We need a license for Zoom Webinar,Purchase,Low
Salary deduction unexplained,HR Support,High
I need to reset my key fob,Access,Medium
Fan is vibrating,Hardware,Low
Quote for office painting,Purchase,High
Customer #332 wants to upgrade,Billing,Low
How do I claim relocation?,HR Support,Low
I need a new business card,HR Support,Low
The toaster is burnt,Hardware,Low
Internet is slow for upload,Hardware,Medium
I need to install MySQL,Access,Low
Grant me access to UAT,Access,Medium
Screen ghosting,Hardware,Low
We need to buy a license for Canva,Purchase,Low
Where do I submit investment declaration?,HR Support,Low
Cannot access the backup,Access,High
The proxy is blocking sites,Access,High
Caps lock is stuck,Hardware,Low
Requesting a quote for a NAS,Purchase,Low
Billing contact email bounce,Billing,Medium
I did not receive my night allowance,HR Support,Medium
Email keeps asking for password,Access,Medium
I need a replacement for my screen,Hardware,Medium
We need to purchase a label maker,Purchase,Low
The server room AC is noisy,Hardware,Medium
Forgot password for the insurance portal,Access,Medium
How many leaves do I get?,HR Support,Low
My laptop shocks me,Hardware,High
Please order 50 batteries,Purchase,Low
401 Unauthorized,Access,High
Tax calculation error,HR Support,Medium
Bluetooth is broken,Hardware,Low
We need to renew the cloud subscription,Purchase,High
Cannot print color,Hardware,Low
Payslip is not generated,HR Support,Medium
My external drive is clicking,Hardware,High
I need a cooling pad,Purchase,Low
Program won't open,Access,Low
Client wants to pay by check,Billing,Low
How do I change my pension?,HR Support,Low
The binding machine is broken,Hardware,Low
I need a license for Cinema 4D,Purchase,Low
Cannot connect to VPN from mobile,Access,Medium
My chair lift is broken,Hardware,Low
Please correct the date on invoice,Billing,Low
I need access to legal docs,Access,High
Laptop keyboard backlight is broken,Hardware,Low
Where can I find the resignation policy?,HR Support,Low
I forgot the server password,Access,High
We need to buy 5 scissors,Purchase,Low
The projector remote is lost,Hardware,Low
Invoice #665 is wrong,Billing,Medium
I cannot login to Bitbucket,Access,High
My computer lags,Hardware,Medium
Requesting a foot pedal,Purchase,Low
What is the notice period?,HR Support,Low
VPN client update needed,Access,Medium
My laptop charger sparks,Hardware,High
Remove tax from invoice,Billing,Low
Please order a microfiber cloth,Purchase,Low
I cannot access the onboarding,Access,Medium
System update stuck,Hardware,Medium
My headset is tight,Purchase,Low
We need a license for Grammarly,Purchase,Low
Salary credited to wrong bank,HR Support,High
I need to reset my physical key,Access,High
Fan is noisy,Hardware,Low
Quote for new carpet,Purchase,Low
Customer #774 wants to cancel,Billing,High
How do I claim certification?,HR Support,Low
I need a new bag,Purchase,Low
The dishwasher is full,Hardware,Low
Internet is down in lobby,Hardware,Medium
I need to install Postman,Access,Low
Grant me access to sandbox,Access,Medium
Screen burn in,Hardware,Low
We need to buy a license for Miro,Purchase,Low
Where do I submit tax proofs?,HR Support,Low
Cannot access archive,Access,Medium
The web server is down,Access,High
Num lock is broken,Hardware,Low
Requesting a quote for a scanner,Purchase,Low
Billing cycle alignment,Billing,Low
I did not receive my bonus,HR Support,High
Email font is small,Access,Low
I need a replacement keyboard,Hardware,Low
We need to purchase an eraser,Purchase,Low
The server rack is open,Hardware,Low
Forgot password for procurement,Access,Medium
How many sick days are paid?,HR Support,Low
My laptop screen flickers,Hardware,Medium
Please order 10 network cables,Purchase,Low
400 Bad Request,Access,Medium
Income tax mismatch,HR Support,Medium
Headphone jack is loose,Hardware,Low
We need to renew maintenance,Purchase,High
Cannot print A3,Hardware,Low
Payslip leave balance wrong,HR Support,Low
My SSD is slow,Hardware,Low
I need a document holder,Purchase,Low
App freezes on print,Access,Medium
Client #99 asked for invoice,Billing,Low
How do I withdraw PF?,HR Support,Low
The hole punch is broken,Hardware,Low
I need a license for Final Cut,Purchase,Low
Cannot connect to VPN from cafe,Access,Medium
My chair is torn,Hardware,Low
Please refund invoice #88,Billing,Medium
I need access to board minutes,Access,High
Laptop has no internet,Access,Medium
Where can I find the whistleblower policy?,HR Support,Low
I forgot the master password,Access,High
We need to buy 20 sticky notes,Purchase,Low
The TV has no signal,Hardware,Low
Invoice #112 is fraud,Billing,High
I cannot login to Slack,Access,High
My computer is hot,Hardware,High
Requesting a gel pad,Purchase,Low
What is the dating policy?,HR Support,Low
VPN is slow,Access,Medium
My laptop battery fluctuates,Hardware,Medium
Add comment to invoice,Billing,Low
Please order a duster,Purchase,Low
I cannot access voting,Access,Low
System hangs on shutdown,Hardware,Low
My headset is broken,Hardware,Medium
We need a license for Notion,Purchase,Low
Salary credited twice,HR Support,High
I need to reset authenticator,Access,High
Fan whistles,Hardware,Low
Quote for blinds,Purchase,Low
Customer #442 extend payment,Billing,Medium
How do I claim newspaper?,HR Support,Low
I need a new locker key,HR Support,Low
The stove is broken,Hardware,Low
Internet restricted,Access,Medium
I need to install C++,Access,Low
Grant me access to devops,Access,High
Screen scratched,Hardware,Low
We need to buy a license for Typeform,Purchase,Low
Where do I submit rent agreement?,HR Support,Low
Cannot access private folder,Access,High
The DHCP server is full,Access,High
Home key stuck,Hardware,Low
Requesting a quote for drone,Purchase,Low
Billing state wrong,Billing,Low
I did not receive confirmation,HR Support,Medium
Email spam filter too strong,Access,Medium
I need a replacement dock,Hardware,Medium
We need to purchase a coat rack,Purchase,Low
The server room is dirty,Hardware,Low
Forgot password for crm,Access,High
How many marriage leaves?,HR Support,Low
My laptop touchpad crazy,Hardware,Medium
Please order 3 cables,Purchase,Low
Connection refused,Access,High
Tax statement unclear,HR Support,Low
Speakers popping,Hardware,Low
We need to renew cleaning,Purchase,Low
Cannot print label,Hardware,Low
Payslip format wrong,HR Support,Low
My memory card error,Hardware,Medium
I need a phone stand,Purchase,Low
App unresponsive,Access,Medium
Client #33 question invoice,Billing,Low
How do I update mobile?,HR Support,Low
The glue gun broken,Hardware,Low
I need a license for Unity,Purchase,Low
Cannot connect to VPN from train,Access,Medium
My chair sinking,Hardware,Low
Please cancel invoice,Billing,Medium
I need access to ceo folder,Access,High
Laptop camera blurry,Hardware,Low
Where can I find ip policy?,HR Support,Low
I forgot api key,Access,Medium
We need to buy 50 bands,Purchase,Low
The projector hot,Hardware,Medium
Invoice #221 error,Billing,Medium
I cannot login to Trello,Access,Medium
My computer black screen,Hardware,High
Requesting monitor riser,Purchase,Low
What is moonlighting policy?,HR Support,Low
VPN token expired,Access,High
My laptop battery bulging,Hardware,High
Remove discount invoice,Billing,Low
Please order cleaning spray,Purchase,Low
I cannot access feedback,Access,Low
System reboots loop,Hardware,High
My headset mic loose,Hardware,Low
We need a license for Evernote,Purchase,Low
Salary unauthorized deduction,HR Support,High
I need to reset 2FA,Access,High
Fan max speed,Hardware,Low
Quote for new table,Purchase,Medium
Customer #552 dispute,Billing,High
How do I claim food?,HR Support,Low
I need a new token,Access,High
The fridge broken,Hardware,Low
Internet intermittent,Hardware,Medium
I need to install Ruby,Access,Low
Grant me access to demo,Access,Medium
Screen vertical line,Hardware,Medium
We need to buy a license for AirTable,Purchase,Low
Where do I submit receipts?,HR Support,Low
Cannot access public folder,Access,Low
The FTP server slow,Access,Medium
Delete key stuck,Hardware,Low
Requesting a quote for shredder,Purchase,Low
Billing period wrong,Billing,Low
I did not receive conveyance,HR Support,Medium
Email attachment blocked,Access,Medium
I need a replacement mouse pad,Purchase,Low
We need to purchase organizer,Purchase,Low
The server room light out,Hardware,Low
Forgot password for learning,Access,Medium
How many maternity leaves?,HR Support,Low
My laptop grinding,Hardware,High
Please order 5 strips,Purchase,Low
408 Timeout,Access,Medium
Tax code wrong,HR Support,Medium
Speakers buzzing,Hardware,Low
We need to renew lease,Purchase,High
Cannot print Chrome,Access,Low
Payslip zero earnings,HR Support,High
My flash drive read only,Hardware,Low
I need privacy filter,Purchase,Low
Program crash startup,Access,Medium
Client #12 check payment,Billing,Low
How do I update address?,HR Support,Low
The stapler jammed,Hardware,Low
I need a license for Corel,Purchase,Low
Cannot connect to VPN hotspot,Access,Medium
My chair back broken,Hardware,Low
Please void invoice,Billing,Medium
I need access to strategy,Access,High
Laptop rubber feet missing,Hardware,Low
Where can I find safety manual?,HR Support,Low
I forgot wifi user,Access,Low
We need to buy 100 clips,Purchase,Low
The HDMI port broken,Hardware,Medium
Invoice #332 underpaid,Billing,Medium
I cannot login to Azure,Access,High
My computer virus,Access,High
Requesting desk lamp,Purchase,Low
What is sabbatical policy?,HR Support,Low
VPN outdated,Access,Medium
My laptop shuts down 20%,Hardware,Medium
Change date invoice,Billing,Low
Please order screen wipe,Purchase,Low
I cannot access survey,Access,Low
System fan error,Hardware,High
My headset static,Hardware,Low
We need a license for Dropbox,Purchase,Low
Salary delayed,HR Support,Medium
I need to reset password manager,Access,High
Fan clicking,Hardware,Low
Quote for reception,Purchase,Medium
Customer #993 proforma,Billing,Low
How do I claim telephone?,HR Support,Low
I need a new gym card,HR Support,Low
The kettle broken,Hardware,Low
Internet slow lab,Hardware,Medium
I need to install Git,Access,Low
Grant me access to production,Access,High
Screen dead pixel,Hardware,Low
We need to buy a license for LucidChart,Purchase,Low
Where do I submit tax saving?,HR Support,Low
Cannot access team folder,Access,Medium
The mail server down,Access,High
Tab key broken,Hardware,Low
Requesting a quote for plotter,Purchase,Low
Billing contact name wrong,Billing,Low
I did not receive holiday pay,HR Support,High
Email images not loading,Access,Low
I need a replacement battery,Hardware,Medium
We need to purchase desk organizer,Purchase,Low
The server room wet,Hardware,High
Forgot password for insurance,Access,Medium
How many paternity leaves?,HR Support,Low
My laptop screen loose,Hardware,Medium
Please order 2 cables,Purchase,Low
503 Service Unavailable,Access,High
Tax deducted not reflected,HR Support,High
Microphone mute,Hardware,Low
We need to renew gym,Purchase,Low
Cannot print PDF,Access,Low
Payslip unreadable,HR Support,Low
My external SSD hot,Hardware,Medium
I need a stand fan,Purchase,Low
App slow,Access,Low
Client #55 not paid,Billing,High
How do I change bank?,HR Support,Low
The scissors dull,Hardware,Low
I need a license for Maya,Purchase,Low
Cannot connect to VPN airport,Access,Medium
My chair squeaking,Hardware,Low
Please resend invoice,Billing,Low
I need access to audit,Access,High
Laptop paint chipping,Hardware,Low
Where can I find social policy?,HR Support,Low
My second monitor keeps going into sleep mode,Hardware,Medium
I need to download my payslip for June 2025,HR Support,Low
Where can I find the updated holiday calendar?,HR Support,Low
I cannot SSH into the production server,Access,High
Reset my password for the SAP portal,Access,High
We need to order 5 ergonomic mouse pads,Purchase,Low
My spacebar key is physically stuck,Hardware,Low
Requesting a license for Adobe Premiere Pro,Purchase,Low
How do I apply for bereavement leave?,HR Support,Low
The printer on the 5th floor is out of paper,Hardware,Medium
I need a new power adapter for my Dell XPS,Hardware,Medium
Portal for tax proof submission is crashing,HR Support,High
Please unlock my AD account,Access,High
WiFi signal is weak in the corner office,Hardware,Medium
I need a headset with a mute button,Purchase,Low
Invoice #1002 has the wrong tax amount,Billing,Medium
Client #505 wants to update their billing address,Billing,Low
I cannot access the payroll dashboard,Access,High
System says 'Invalid Credentials' on login,Access,High
My webcam has a purple tint,Hardware,Medium
I want to encash my privilege leaves,HR Support,Low
Please buy a license for IntelliJ Ultimate,Purchase,Low
Laptop shuts down when unplugged,Hardware,High
Refund status for transaction #9981?,Billing,Medium
Permission denied when accessing /var/log,Access,High
I need my Form 16 Part B,HR Support,Low
The QR scanner is not beeping,Hardware,Medium
We need 3 standing desk converters,Purchase,Low
Unrecognized charge on the corporate credit card,Billing,High
Teams keeps crashing on startup,Access,High
My monitor has a dead pixel cluster,Hardware,Low
What is the policy for international travel?,HR Support,Low
Urgent: Server room AC is leaking,Hardware,High
I need write access to the S3 bucket,Access,Medium
Payment gateway timeout for Order #551,Billing,High
Requesting a new whiteboard marker set,Purchase,Low
How do I update my salary account details?,HR Support,High
VPN disconnects every hour,Access,High
Docking station HDMI port is dead,Hardware,Medium
Update the VAT number for invoice #100,Billing,Low
Please order a magic trackpad,Purchase,Low
I cannot view my variable pay history,HR Support,Medium
Account locked due to 3 failed attempts,Access,High
The projector bulb exploded,Hardware,High
We need a subscription for Figma Professional,Purchase,Low
Salary was short by 500 dollars,HR Support,High
I need to reset my RSA soft token,Access,High
The CPU fan is making a grinding noise,Hardware,Medium
Quote needed for 10TB NAS storage,Purchase,Low
Customer demands refund for service outage,Billing,Medium
How do I claim broadband reimbursement?,HR Support,Low
I lost my access badge on the bus,HR Support,Medium
The water dispenser is empty,Hardware,Low
Internet is down for the marketing team,Hardware,High
I need sudo access on the test server,Access,Medium
Grant me access to the private repo,Access,Medium
Screen is flickering when brightness is low,Hardware,High
We need to buy a license for Asana Business,Purchase,Low
Where do I upload my rent receipts?,HR Support,Low
Cannot map the Z: drive,Access,Medium
The main database is unresponsive,Access,High
Keyboard keys 'A' and 'S' are worn out,Hardware,Low
Requesting a quote for 15 iPads,Purchase,Low
Billing cycle change request for Client Z,Billing,Low
I did not receive my relocation bonus,HR Support,High
Email is not syncing on Android Work Profile,Access,Medium
I need a replacement for my broken laptop bag,Hardware,Medium
We need a new switch for the lab,Purchase,Medium
AC in the server room is freezing,Hardware,Medium
Forgot username for the benefits system,Access,Medium
How many casual leaves do I have?,HR Support,Low
My laptop gets very hot while charging,Hardware,High
Please order 20 Ethernet cables,Purchase,Low
